Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3"
t5,2-1,2,1--,"2,(0-1) 11TX",O,ATL,Austin Riley,Garrett Richards,-3%,57%,Groundout: P-1B (Weak 2B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Braves 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 1 LOB. Braves 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 1 LOB. Braves 2, Red Sox 1."
"Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 9-1-2"
b5,1-2,0,---,"3,(1-1) BSX",O,BOS,Bobby Dalbec,Charlie Morton,4%,61%,Flyball: RF (Deep RF Line)
b5,1-2,1,---,"7,(3-2) BBFFFBS",O,BOS,Enrique Hernandez,Charlie Morton,3%,63%,Strikeout Swinging
b5,1-2,2,---,"3,(0-2) CFX",O,BOS,Alex Verdugo,Charlie Morton,2%,65%,Groundout: 3B-1B (Deep 2B-1B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Braves 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Braves 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Braves 2, Red Sox 1."
"Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8","Top of the 6th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 6-7-8"
t6,2-1,0,---,"6,(2-2) BFBFFX",O,ATL,Dansby Swanson,Garrett Richards,-3%,62%,Lineout: RF (Deep RF Line)
t6,2-1,1,---,"4,(1-2) CFBX",,ATL,Pablo Sandoval,Garrett Richards,3%,65%,Single to CF (Ground Ball thru SS-2B)
t6,2-1,1,1--,"3,(0-2) FFS",O,ATL,Guillermo Heredia,Garrett Richards,-3%,62%,Strikeout Swinging
t6,2-1,2,1--,"5,(3-1) BBFB*B",,ATL,William Contreras,Garrett Richards,2%,64%,Walk; Sandoval to 2B
,,,,,,,,,Hirokazu Sawamura replaces Garrett Richards pitching,Hirokazu Sawamura replaces Garrett Richards pitching,Hirokazu Sawamura replaces Garrett Richards pitching
t6,2-1,2,12-,"6,(2-2) .BSCFBX",R,ATL,Ronald Acuna Jr.,Hirokazu Sawamura,13%,77%,Double to LF (Line Drive to Deep LF Line); Sandoval Scores; Contreras to 3B
t6,3-1,2,-23,"2,(3-1) FBVVV",,ATL,Freddie Freeman,Hirokazu Sawamura,1%,78%,Intentional Walk
t6,3-1,2,123,"5,(2-2) BBSCC",O,ATL,Ehire Adrianza,Hirokazu Sawamura,-6%,72%,Strikeout Looking
,,,,,,,,,"1 run, 2 hits, 0 errors, 3 LOB. Braves 3, Red Sox 1.","1 run, 2 hits, 0 errors, 3 LOB. Braves 3, Red Sox 1.","1 run, 2 hits, 0 errors, 3 LOB. Braves 3, Red Sox 1."
