Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
175,Scott Elbert,28,LAD,7,0,0,4.1,1,1,0,0,0,1.000,,,0,0,0,2.08,0.14,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
176,A.J. Ellis,33,LAD,92,89,79,773.2,809,737,68,4,4,.995,0,0,-6,-9,3,9.36,8.75,C
177,Mark Ellis,37,STL,55,46,38,410.1,213,85,127,1,27,.995,-1,-2,4,12,2,4.65,3.79,2B-1B-3B
178,Jake Elmore,27,CIN,5,3,3,26.0,14,7,7,0,1,1.000,0,5,-1,-46,0,4.85,2.80,SS-2B
179,Nathan Eovaldi,24,MIA,33,33,0,199.2,53,21,31,1,2,.981,,,5,5,1,2.34,1.58,P
180,Robbie Erlin,23,SDP,13,11,0,61.1,8,3,5,0,0,1.000,,,0,0,0,1.17,0.62,P
181,Danny Espinosa,27,WSN,100,85,80,793.1,437,173,259,5,65,.989,2,3,0,0,0,4.90,4.28,2B-SS
182,Marco Estrada,30,MIL,39,18,0,150.2,27,6,21,0,0,1.000,,,4,5,1,1.61,0.69,P
183,Andre Ethier,32,LAD,93,78,63,717.1,160,158,1,1,0,.994,-12,-19,-7,-11,0,1.99,1.71,OF-1B
184,Nick Evans,28,ARI,5,2,1,20.0,14,10,4,0,2,1.000,0,-6,0,0,0,6.30,2.80,1B-3B-OF
185,Dana Eveland,30,NYM,30,0,0,27.1,3,1,2,0,0,1.000,,,0,0,0,0.99,0.10,P
186,Irving Falu,31,TOT,16,6,6,72.2,31,15,15,1,5,.968,0,-7,2,33,0,3.72,1.88,2B-SS-3B
187,Jeurys Familia,24,NYM,76,0,0,77.1,18,5,10,3,0,.833,,,-3,-8,0,1.75,0.20,P
188,Kyle Farnsworth,38,NYM,19,0,0,17.0,1,0,1,0,0,1.000,,,0,0,0,0.53,0.05,P
189,Tim Federowicz,26,LAD,22,19,17,190.0,172,150,19,3,1,.983,1,6,-1,-6,-1,8.01,7.68,C
190,José Fernández,21,MIA,8,8,0,51.2,7,4,3,0,0,1.000,,,2,8,1,1.22,0.88,P
