Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
159,John Flaherty,34,TBD,75,74,74,669.0,487,450,33,4,8,.992,2,4,6.50,6.44,C
160,Darrin Fletcher,35,TOR,36,29,21,253.2,194,181,12,1,1,.995,-1,-5,6.85,5.36,C
161,Jose Flores,29,OAK,3,1,0,9.0,2,1,1,0,0,1.000,-1,-67,2.00,0.67,2B-SS
162,Randy Flores,26,TEX,20,0,0,12.0,4,0,4,0,1,1.000,,,3.00,0.20,P
163,Cliff Floyd,29,BOS,26,25,19,215.0,43,41,1,1,1,.977,-2,-9,1.76,1.62,OF
164,Brook Fordyce,32,BAL,55,39,35,369.0,279,267,8,4,1,.986,-4,-13,6.71,5.00,C
165,Casey Fossum,24,BOS,43,12,0,106.2,13,8,5,0,2,1.000,,,1.10,0.30,P
166,Keith Foulke,29,CHW,65,0,0,77.2,12,6,6,0,1,1.000,,,1.39,0.18,P
167,Ryan Franklin,29,SEA,41,12,0,118.2,23,9,13,1,0,.957,,,1.67,0.54,P
168,Kevin Frederick,25,MIN,8,0,0,11.2,3,3,0,0,0,1.000,,,2.31,0.38,P
169,Travis Fryman,33,CLE,113,107,102,928.1,248,53,185,10,27,.960,-7,-9,2.31,2.11,3B
170,Brad Fullmer,27,ANA,29,27,11,211.1,185,176,8,1,22,.995,-1,-5,7.84,6.34,1B
171,Mike Fyhrie,32,OAK,16,4,0,48.2,10,4,6,0,1,1.000,,,1.85,0.63,P
172,Rich Garcés,31,BOS,26,0,0,21.1,5,0,5,0,0,1.000,,,2.11,0.19,P
173,Freddy García,25,SEA,34,34,1,223.2,45,12,30,3,2,.933,,,1.69,1.24,P
174,Karim García,26,TOT,53,50,48,453.0,102,99,2,1,0,.990,0,0,2.01,1.91,OF
175,Luis García,26,BAL,2,0,0,3.0,1,1,0,0,0,1.000,0,40,3.00,0.50,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
176,Reynaldo Garcia,28,TEX,3,0,0,2.0,0,0,0,0,0,,,,0.00,0.00,P
177,Nomar Garciaparra,28,BOS,154,153,142,1341.0,712,220,467,25,92,.965,16,14,4.61,4.46,SS
178,Lee Gardner,27,TBD,12,0,0,13.1,4,0,3,1,0,.750,,,2.03,0.25,P
179,Jon Garland,22,CHW,33,33,1,192.2,31,10,21,0,3,1.000,,,1.45,0.94,P
180,Chris George,22,KCR,6,6,0,27.1,10,2,8,0,0,1.000,,,3.29,1.67,P
181,Esteban Germán,24,OAK,8,8,7,77.0,46,22,23,1,6,.978,-2,-36,5.26,5.63,2B
182,Franklyn Germán,22,DET,7,0,0,6.2,2,1,1,0,0,1.000,,,2.70,0.29,P
183,Jason Giambi,31,NYY,92,92,67,781.2,800,761,35,4,53,.995,1,2,9.17,8.65,1B
184,Jeremy Giambi,27,OAK,40,40,27,323.0,64,63,0,1,0,.984,-6,-23,1.76,1.58,OF
185,Jay Gibbons,25,BAL,119,119,97,1030.2,407,382,23,2,28,.995,-3,-3,3.54,3.32,OF-1B
186,Benji Gil,29,ANA,49,34,21,294.1,187,90,93,4,22,.979,6,24,5.60,3.66,2B-SS-1B
187,Gerónimo Gil,26,BAL,125,122,103,1068.2,804,740,60,4,14,.995,3,3,6.74,6.40,C
188,Matt Ginter,24,CHW,33,0,0,54.1,6,4,2,0,1,1.000,,,0.99,0.18,P
189,Charles Gipson,29,SEA,74,18,14,254.1,71,66,3,2,1,.972,1,4,2.44,0.90,OF-3B
190,Troy Glaus,25,ANA,156,153,138,1337.1,404,102,282,20,31,.950,7,6,2.58,2.43,3B-SS
191,Gary Glover,25,CHW,41,22,0,138.1,29,10,19,0,0,1.000,,,1.89,0.71,P
192,Wayne Gomes,29,BOS,20,0,0,21.1,1,0,0,1,0,.000,,,0.00,0.00,P
193,Alexis Gómez,23,KCR,2,2,1,15.0,5,4,1,0,1,1.000,0,0,3.00,2.50,OF
194,Chris Gomez,31,TBD,130,128,118,1114.1,597,229,356,12,94,.980,-2,-2,4.72,4.50,SS
