Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
130,Jeff Conine,40,PHI,26,21,10,197.1,37,36,0,1,0,.973,2,10,-2,-12,0,1.64,1.38,OF
131,Aaron Cook,27,COL,32,32,0,212.2,69,22,45,2,4,.971,,,3,3,0,2.84,2.09,P
132,Roy Corcoran,26,WSN,6,0,0,5.2,1,0,1,0,0,1.000,,,0,0,0,1.59,0.17,P
133,Chad Cordero,24,WSN,68,0,0,73.1,14,2,11,1,0,.929,,,1,3,0,1.60,0.19,P
134,Francisco Cordero,31,MIL,28,0,0,26.2,2,0,2,0,0,1.000,,,0,0,0,0.68,0.07,P
135,Lance Cormier,25,ATL,29,9,0,73.2,11,3,8,0,0,1.000,,,-1,-3,0,1.34,0.38,P
136,Rheal Cormier,39,TOT,64,0,0,48.0,20,7,13,0,2,1.000,,,2,50,0,3.75,0.31,P
137,Manny Corpas,23,COL,35,0,0,32.1,4,1,3,0,0,1.000,,,0,0,0,1.11,0.11,P
138,Kevin Correia,25,SFG,48,0,0,69.2,6,3,3,0,0,1.000,,,0,0,0,0.78,0.13,P
139,David Cortés,32,COL,30,0,0,29.1,6,1,5,0,0,1.000,,,0,0,0,1.84,0.20,P
140,Chris Coste,33,PHI,56,46,43,438.2,347,331,12,4,1,.988,-2,-5,-5,-13,-1,7.04,6.13,C-1B
141,Humberto Cota,27,PIT,33,29,23,242.1,195,179,16,0,1,1.000,0,0,-1,-3,1,7.24,5.91,C
142,Craig Counsell,35,ARI,94,87,77,775.2,452,134,309,9,75,.980,16,24,23,36,1,5.14,4.57,SS-3B-2B
143,José Cruz,32,LAD,71,54,41,516.2,129,129,0,0,0,1.000,5,12,2,4,0,2.25,1.82,OF
144,Juan Cruz,27,ARI,31,15,0,94.2,20,8,10,2,1,.900,,,0,0,0,1.71,0.58,P
145,Jack Cust,27,SDP,1,0,0,2.0,0,0,0,0,0,,0,0,0,0,,0.00,0.00,OF
146,Casey Daigle,25,ARI,10,0,0,12.1,1,0,1,0,0,1.000,,,-2,-32,0,0.73,0.10,P
147,Jeff DaVanon,32,ARI,58,44,37,407.2,94,92,0,2,0,.979,0,0,-2,-5,0,2.03,1.59,OF
148,Kyle Davies,22,ATL,14,14,1,63.1,8,3,5,0,0,1.000,,,0,0,0,1.14,0.57,P
149,Doug Davis,30,MIL,34,34,1,203.1,33,6,26,1,1,.970,,,-6,-6,-2,1.42,0.94,P
150,Rajai Davis,25,PIT,1,0,0,3.0,0,0,0,0,0,,0,0,0,0,0,0.00,0.00,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
151,Zach Day,28,TOT,8,8,0,40.0,5,1,4,0,1,1.000,,,-2,-60,0,1.13,0.63,P
152,Jorge De La Rosa,25,MIL,18,3,0,30.1,6,1,4,1,0,.833,,,-1,-7,0,1.48,0.28,P
153,Tomás de la Rosa,28,SFG,12,2,1,40.0,17,7,9,1,1,.941,-1,-18,-1,-30,0,3.60,1.33,SS-2B-3B
154,Mike DeJean,35,COL,2,0,0,1.2,0,0,0,0,0,,,,-1,-120,,0.00,0.00,P
155,Carlos Delgado,34,NYM,141,141,131,1246.1,1277,1199,70,8,95,.994,6,6,-3,-3,0,9.16,9.00,1B
156,David Dellucci,32,PHI,67,57,21,467.2,97,95,1,1,0,.990,0,1,-14,-35,-6,1.85,1.43,OF
157,Chris Demaria,25,MIL,10,0,0,13.2,3,1,1,1,0,.667,,,0,0,0,1.32,0.20,P
158,Ryan Dempster,29,CHC,74,0,0,75.0,12,3,8,1,0,.917,,,-2,-5,0,1.32,0.15,P
159,Chris Denorfia,25,CIN,37,25,22,230.2,60,58,2,0,1,1.000,10,50,8,41,0,2.34,1.62,OF
160,Elmer Dessens,35,LAD,19,0,0,23.0,2,0,2,0,0,1.000,,,0,0,0,0.78,0.11,P
161,Joey Devine,22,ATL,10,0,0,6.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
162,Einar Díaz,33,LAD,1,0,0,1.0,0,0,0,0,0,,0,0,0,0,,0.00,0.00,C
163,Matt Diaz,28,ATL,99,62,44,600.1,175,166,5,4,1,.977,12,24,16,32,2,2.56,1.73,OF
164,Víctor Díaz,24,NYM,4,2,1,20.0,5,4,0,1,0,.800,-2,-108,0,0,0,1.80,1.00,OF
