Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
205,Carlos Guillén,25,SEA,137,123,115,1120.0,510,187,313,10,75,.980,10,11,4.02,3.65,SS
206,José Guillén,25,TBD,36,35,34,306.2,96,86,7,3,3,.969,5,21,2.73,2.58,OF
207,Mark Guthrie,35,OAK,54,0,0,52.1,4,0,4,0,0,1.000,,,0.69,0.07,P
208,Cristian Guzmán,23,MIN,118,115,107,1015.0,513,165,327,21,58,.959,8,9,4.36,4.17,SS
209,Jerry Hairston,25,BAL,156,154,149,1343.1,803,326,458,19,93,.976,-4,-3,5.25,5.03,2B
210,John Halama,29,SEA,31,17,0,110.1,31,9,21,1,0,.968,,,2.45,0.97,P
211,Toby Hall,25,TBD,46,46,45,410.0,353,328,20,5,2,.986,1,3,7.64,7.57,C
212,Roy Halladay,24,TOR,17,16,1,105.1,23,7,16,0,0,1.000,,,1.97,1.35,P
213,Shane Halter,31,DET,135,126,116,1113.0,575,223,326,26,68,.955,0,0,4.44,3.81,3B-SS-1B
214,Joey Hamilton,30,TOR,22,22,0,122.1,26,8,16,2,2,.923,,,1.77,1.09,P
215,Travis Harper,25,TBD,2,2,0,7.0,1,0,1,0,0,1.000,,,1.29,0.50,P
216,Willie Harris,23,BAL,8,7,4,56.0,17,16,1,0,1,1.000,-1,-28,2.73,2.13,OF
217,Ken Harvey,23,KCR,3,3,1,17.0,12,11,1,0,1,1.000,0,-21,6.35,4.00,1B
218,Chad Harville,24,OAK,3,0,0,3.0,2,1,1,0,0,1.000,,,6.00,0.67,P
219,Shigetoshi Hasegawa,32,ANA,46,0,0,55.2,10,3,6,1,1,.900,,,1.46,0.20,P
220,Bill Haselman,35,TEX,47,35,27,338.0,247,234,13,0,2,1.000,1,4,6.58,5.26,C
221,Scott Hatteberg,31,BOS,72,65,54,581.2,524,491,29,4,3,.992,-20,-41,8.05,7.22,C
222,LaTroy Hawkins,28,MIN,62,0,0,51.1,8,3,5,0,0,1.000,,,1.40,0.13,P
223,Rick Helling,30,TEX,34,34,2,215.2,32,15,16,1,1,.969,,,1.29,0.91,P
224,Doug Henry,37,KCR,53,0,0,75.2,9,4,5,0,1,1.000,,,1.07,0.17,P
225,Pat Hentgen,32,BAL,9,9,1,62.1,18,7,10,1,1,.944,,,2.45,1.89,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
226,Gil Heredia,35,OAK,24,18,0,109.2,35,16,17,2,0,.943,,,2.71,1.38,P
227,Adrián Hernández,26,NYY,6,3,0,22.0,5,1,3,1,0,.800,,,1.64,0.67,P
228,Orlando Hernández,35,NYY,17,16,0,94.2,17,5,12,0,0,1.000,,,1.62,1.00,P
229,Ramón Hernández,25,OAK,136,127,116,1135.2,993,911,70,12,15,.988,6,6,7.77,7.16,C-1B
230,Roberto Hernández,36,KCR,63,0,0,67.2,9,3,6,0,0,1.000,,,1.20,0.14,P
231,Bobby Higginson,30,DET,142,142,125,1215.1,339,321,10,8,1,.976,4,4,2.45,2.33,OF
232,Erik Hiljus,28,OAK,16,11,0,66.0,5,1,4,0,0,1.000,,,0.68,0.31,P
233,Ken Hill,35,TBD,5,0,0,7.1,5,2,2,1,0,.800,,,4.91,0.80,P
234,Shea Hillenbrand,25,BOS,134,121,116,1101.0,359,138,203,18,20,.950,-2,-3,2.79,2.53,3B-1B
235,A.J. Hinch,27,KCR,43,37,30,331.2,237,220,14,3,2,.987,-1,-4,6.35,5.44,C
