Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
127,Daniel Corcino,27,LAD,2,0,0,4.0,1,0,1,0,0,1.000,,,0,0,0,2.25,0.50,P
128,Franchy Cordero,23,SDP,37,36,35,323.2,66,61,2,3,0,.955,-14,-50,-8,-29,-1,1.75,1.70,OF
129,Jimmy Cordero,26,WSN,22,0,0,19.0,3,1,1,1,0,.667,,,-1,-11,0,0.95,0.09,P
130,Dylan Cozens,24,PHI,14,8,5,77.2,16,16,0,0,0,1.000,-1,-17,0,0,0,1.85,1.14,OF
131,Brandon Crawford,31,SFG,146,141,132,1259.0,643,192,435,16,105,.975,2,2,-4,-4,4,4.48,4.29,SS
132,J.P. Crawford,23,PHI,39,36,22,303.1,131,37,85,9,19,.931,0,-1,-2,-8,0,3.62,2.84,SS-3B
133,Kyle Crick,25,PIT,64,0,0,60.1,12,4,6,2,0,.833,,,-3,-10,0,1.49,0.16,P
134,Kyle Crockett,26,CIN,15,0,0,9.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
135,Tony Cruz,31,CIN,6,6,6,54.0,61,58,3,0,0,1.000,0,0,0,0,1,10.17,10.17,C
136,Johnny Cueto,32,SFG,9,9,0,53.0,14,7,7,0,1,1.000,,,0,0,0,2.38,1.56,P
137,Noel Cuevas,26,COL,45,34,19,282.2,49,48,1,0,1,1.000,-2,-10,-3,-12,-1,1.56,1.09,OF
138,Charlie Culberson,29,ATL,78,64,49,604.0,153,79,69,5,12,.967,-3,-7,-9,-17,0,2.21,1.78,OF-3B-SS-2B-1B-P
139,Zac Curtis,25,PHI,7,0,0,9.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
140,Chase d'Arnaud,31,SFG,31,20,9,183.0,83,40,43,0,12,1.000,1,9,2,13,0,4.08,2.52,2B-3B-1B-SS-P
141,Travis d'Arnaud,29,NYM,4,4,4,39.0,45,43,1,1,0,.978,-1,-31,-1,-31,0,10.15,11.00,C
142,David Dahl,24,COL,62,59,48,524.2,111,109,2,0,1,1.000,3,7,1,2,0,1.90,1.79,OF
143,Yu Darvish,31,CHC,8,8,0,40.0,7,4,2,1,0,.857,,,-1,-5,0,1.35,0.75,P
144,Zach Davies,25,MIL,13,13,0,66.0,14,4,9,1,1,.929,,,3,9,1,1.77,1.00,P
145,Austin Davis,25,PHI,32,0,0,34.2,3,1,0,2,0,.333,,,-2,-12,0,0.26,0.03,P
146,Taylor Davis,28,CHC,4,0,0,4.0,5,4,1,0,1,1.000,0,0,0,0,0,11.25,1.25,C-1B
147,Wade Davis,32,COL,69,0,0,65.1,11,8,3,0,1,1.000,,,-1,-3,0,1.52,0.16,P
148,Jorge De La Rosa,37,TOT,59,0,0,56.0,6,0,4,2,0,.667,,,-1,-21,0,0.64,0.07,P
149,Enyel De Los Santos,22,PHI,7,2,0,19.0,11,4,7,0,0,1.000,,,1,11,0,5.21,1.57,P
150,Austin Dean,24,MIA,31,31,16,245.2,59,57,1,1,0,.983,0,1,-4,-19,-1,2.12,1.87,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
151,Jacob deGrom,30,NYM,32,32,1,217.0,45,21,23,1,2,.978,,,5,5,1,1.82,1.38,P
152,Paul DeJong,24,STL,114,111,110,1005.1,454,153,289,12,64,.974,1,1,6,7,1,3.96,3.88,SS
153,Randall Delgado,28,ARI,10,0,0,11.1,1,0,1,0,0,1.000,,,0,0,0,0.79,0.10,P
154,Matt den Dekker,30,NYM,7,5,4,46.0,19,19,0,0,0,1.000,-3,-65,-4,-104,0,3.72,2.71,OF
155,Daniel Descalso,31,ARI,96,84,40,724.0,320,141,170,9,37,.972,-3,-5,-11,-18,1,3.87,2.91,2B-3B-1B-OF-P
156,Anthony DeSclafani,28,CIN,21,21,0,115.0,21,5,13,3,0,.857,,,1,2,0,1.41,0.86,P
157,Ian Desmond,32,COL,150,147,128,1305.1,1232,1140,86,6,113,.995,4,4,1,0,0,8.45,7.61,1B-OF-SS
158,Odrisamer Despaigne,31,MIA,11,1,0,20.1,8,1,7,0,0,1.000,,,1,10,0,3.54,0.73,P
159,Elías Díaz,27,PIT,70,59,55,549.1,551,501,41,9,6,.984,-6,-13,-1,-2,-3,8.88,7.74,C
160,Miguel Díaz,23,SDP,11,0,0,18.2,2,1,1,0,0,1.000,,,0,0,0,0.96,0.18,P
161,Corey Dickerson,29,PIT,124,122,110,1057.1,263,255,7,1,5,.996,16,18,15,17,2,2.23,2.11,OF
162,Jake Diekman,31,ARI,24,0,0,14.1,6,1,3,2,0,.667,,,1,14,0,2.51,0.17,P
163,Derek Dietrich,28,MIA,127,114,64,971.1,372,349,19,4,17,.989,-13,-16,-19,-23,-1,3.41,2.71,OF-1B-2B-3B
164,Wilmer Difo,26,WSN,136,104,95,986.1,424,168,251,5,49,.988,5,6,1,1,-2,3.82,2.95,2B-3B-SS-OF
165,Brandon Dixon,26,CIN,63,22,12,245.1,134,110,24,0,17,1.000,1,3,2,9,0,4.92,1.97,1B-OF-2B-3B-P
166,Seranthony Domínguez,23,PHI,53,0,0,58.0,13,5,7,1,0,.923,,,0,0,0,1.86,0.23,P
167,Sean Doolittle,31,WSN,43,0,0,45.0,7,4,3,0,1,1.000,,,0,0,0,1.40,0.16,P
168,Brian Dozier,31,LAD,45,40,27,346.2,154,68,82,4,19,.974,0,1,1,3,2,3.89,3.33,2B
169,Oliver Drake,31,MIL,11,0,0,12.2,3,2,1,0,0,1.000,,,0,0,0,2.13,0.27,P
170,Lucas Duda,32,ATL,2,1,0,13.0,20,19,1,0,0,1.000,1,83,0,0,0,13.85,10.00,1B
171,Brian Duensing,35,CHC,48,0,0,38.0,15,9,6,0,3,1.000,0,0,1,31,0,3.55,0.31,P-OF
172,Steven Duggar,24,SFG,40,37,35,345.2,96,93,1,2,0,.979,8,27,2,6,0,2.45,2.35,OF
173,Mike Dunn,33,COL,25,0,0,17.0,3,0,3,0,0,1.000,,,1,12,0,1.59,0.12,P
