Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3"
t5,0-3,2,-2-,"5,(1-2) SCF*BS",O,COL,David Dahl,Chris Sale,-3%,13%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Rockies 0, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Rockies 0, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Rockies 0, Red Sox 3."
"Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 2-3-4"
b5,3-0,0,---,"1,(0-0) X",O,BOS,Mookie Betts,Kyle Freeland,1%,14%,Flyball: RF
b5,3-0,1,---,"3,(1-1) BFX",O,BOS,J.D. Martinez,Kyle Freeland,1%,15%,Lineout: RF (Deep CF-RF)
b5,3-0,2,---,"6,(3-2) BCBSBB",,BOS,Xander Bogaerts,Kyle Freeland,-1%,14%,Walk
b5,3-0,2,1--,"4,(1-2) FSBX",O,BOS,Rafael Devers,Kyle Freeland,1%,15%,Flyball: RF (Deep CF-RF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Rockies 0, Red Sox 3.","0 runs, 0 hits, 0 errors, 1 LOB. Rockies 0, Red Sox 3.","0 runs, 0 hits, 0 errors, 1 LOB. Rockies 0, Red Sox 3."
"Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1","Top of the 6th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 8-9-1"
t6,0-3,0,---,"7,(3-2) SFBBBFC",O,COL,Chris Iannetta,Chris Sale,-3%,13%,Strikeout Looking
t6,0-3,1,---,"3,(0-2) CSC",O,COL,Pat Valaika,Chris Sale,-2%,11%,Strikeout Looking
t6,0-3,2,---,"3,(0-2) SCC",O,COL,Charlie Blackmon,Chris Sale,-1%,10%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Rockies 0, Red Sox 3."
"Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8","Bottom of the 6th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 6-7-8"
b6,3-0,0,---,"4,(1-2) BFSX",O,BOS,Michael Chavis,Kyle Freeland,1%,11%,Flyball: CF
b6,3-0,1,---,"4,(1-2) FSBX",O,BOS,Steve Pearce,Kyle Freeland,1%,12%,Flyball: CF (Deep CF)
b6,3-0,2,---,"5,(3-1) BBFB*B",,BOS,Eduardo Nunez,Kyle Freeland,-1%,11%,Walk
b6,3-0,2,1--,"2,(1-0) BC",,BOS,Sandy Leon,Kyle Freeland,0%,11%,Nunez Steals 2B
b6,3-0,2,-2-,"4,(1-2) BC.FX",O,BOS,Sandy Leon,Kyle Freeland,2%,12%,Lineout: CF (Deep CF)
