home_moneyline,away_team_abbr,date,home_team_abbr,home_score,away_score
,TB,2012-03-24 15:05:00,MIN,19.0,4.0
,LAA,2012-03-24 16:05:00,TEX,2.0,3.0
,CHW,2012-03-24 16:05:00,MIL,4.0,6.0
,CIN,2012-03-24 16:05:00,SD,0.0,6.0
,CLE,2012-03-24 16:05:00,LAD,5.0,4.0
,COL,2012-03-24 16:05:00,SF,6.0,7.0
,SD,2012-03-24 16:05:00,CHC,1.0,5.0
,SF,2012-03-24 16:05:00,CIN,4.0,6.0
,KC,2012-03-24 22:10:00,ARI,5.0,6.0
,BAL,2012-03-25 13:05:00,PHI,3.0,3.0
,BOS,2012-03-25 13:05:00,TOR,6.0,5.0
,DET,2012-03-25 13:05:00,NYY,1.0,1.0
,HOU,2012-03-25 13:05:00,ATL,11.0,1.0
,MIA,2012-03-25 13:05:00,TB,1.0,5.0
,MIN,2012-03-25 13:05:00,STL,9.0,2.0
,NYM,2012-03-25 13:05:00,WAS,12.0,0.0
,PHI,2012-03-25 13:05:00,DET,6.0,3.0
,PIT,2012-03-25 13:05:00,HOU,7.0,9.0
,ARI,2012-03-25 16:05:00,SD,4.0,3.0
,CHC,2012-03-25 16:05:00,CLE,2.0,6.0
,LAD,2012-03-25 16:05:00,MIL,7.0,1.0
,MIL,2012-03-25 16:05:00,KC,3.0,7.0
,SF,2012-03-25 16:05:00,CHW,5.0,2.0
,TEX,2012-03-25 16:05:00,LAA,6.0,5.0
,CIN,2012-03-25 16:10:00,COL,7.0,3.0
,BOS,2012-03-26 13:05:00,PHI,0.0,6.0
,HOU,2012-03-26 13:05:00,WAS,7.0,4.0
,MIA,2012-03-26 13:05:00,DET,3.0,3.0
,NYM,2012-03-26 13:05:00,STL,3.0,6.0
,TB,2012-03-26 13:05:00,MIN,4.0,10.0
,CHW,2012-03-26 16:05:00,LAD,4.0,3.0
,COL,2012-03-26 16:05:00,LAA,2.0,6.0
,KC,2012-03-26 16:05:00,SF,4.0,2.0
,MIL,2012-03-26 16:05:00,CLE,5.0,6.0
,SD,2012-03-26 16:05:00,CHC,2.0,0.0
,CHC,2012-03-26 16:10:00,ARI,3.0,2.0
,BAL,2012-03-26 19:05:00,PIT,1.0,4.0
,CIN,2012-03-26 21:05:00,TEX,12.0,2.0
,DET,2012-03-27 13:05:00,HOU,14.0,7.0
,MIN,2012-03-27 13:05:00,BAL,0.0,5.0
,PIT,2012-03-27 13:05:00,PHI,5.0,4.0
,WAS,2012-03-27 13:05:00,MIA,3.0,1.0
,ATL,2012-03-27 13:10:00,NYM,5.0,7.0
,TB,2012-03-27 13:35:00,BOS,8.0,0.0
,LAA,2012-03-27 16:05:00,SF,3.0,5.0
,CHC,2012-03-27 16:05:00,CIN,4.0,7.0
,CLE,2012-03-27 16:05:00,CHW,7.0,1.0
,KC,2012-03-27 16:05:00,MIL,7.0,9.0
,LAD,2012-03-27 16:05:00,SD,6.0,5.0
,SD,2012-03-27 16:05:00,TEX,10.0,9.0
,COL,2012-03-27 16:10:00,ARI,7.0,3.0
,TOR,2012-03-27 19:05:00,NYY,3.0,4.0
,SEA,2012-03-28 06:10:00,OAK,1.0,3.0
,BAL,2012-03-28 13:05:00,TOR,9.0,3.0
,NYY,2012-03-28 13:05:00,ATL,5.0,5.0
,PHI,2012-03-28 13:05:00,MIN,11.0,7.0
,DET,2012-03-28 13:05:00,STL,9.0,5.0
,MIA,2012-03-28 13:05:00,HOU,6.0,3.0
,WAS,2012-03-28 13:10:00,NYM,2.0,3.0
