Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Eric Stults","LAD","A+,AA,AAA","26-35",625,0.3275952,1.04931973,0.18082937,0.41944256,0.39972808,0.18197279,0.07993197,0.46326936,0.26009265,0.27663799,0.10401321,2858,5016,7874,"8011"
"Wes Whisler","CHW","A,A+,AA,AAA","23-30",801,0.30098504,1.87418301,0.18451553,0.53175707,0.2837274,0.20261438,0.08986928,0.48533333,0.23288889,0.28177778,0.09741481,3130,5380,8510,"8023"
"Thomas Diamond","TEX","AA,AAA","23-28",415.2,0.30728242,0.73243243,0.20864198,0.3345679,0.45679012,0.22972973,0.07837838,0.4007177,0.23803828,0.36124402,0.08875848,2223,3230,5453,"8025"
"Thad Weber","DET","A,A+,AA,AAA,R","23-32",1188.2,0.30263866,1.41143317,0.19834047,0.46921842,0.33244111,0.16586151,0.10628019,0.472642,0.25169359,0.27566441,0.10973547,4889,9892,14781,"8036"
"Paul Clemens","ATL","A,A+,AA,AAA,R","20-30",802.1,0.30427699,1.05769231,0.16850716,0.42740286,0.40408998,0.19129555,0.07894737,0.44875346,0.26038781,0.29085873,0.11138866,3851,6958,10809,"8037"
"Glen Perkins","MIN","A+,AA,AAA,R","23-34",320.2,0.31865828,1.16877637,0.18799368,0.43759874,0.37440758,0.23628692,0.10548523,0.38320611,0.25648855,0.36030534,0.09931618,1023,2048,3071,"8041"
"Jason Vargas","FLA","A-,AA,AAA,R","23-36",295.2,0.3340935,0.72955975,0.17043741,0.34992459,0.47963801,0.2327044,0.09748428,0.45374449,0.24963289,0.29662261,0.1159188,1338,2406,3744,"8044"
"Mark Worrell","STL","AA,AAA","23-30",279,0.28647215,0.87644788,0.17064846,0.38737201,0.44197952,0.22779923,0.07335907,0.41707718,0.25287356,0.33004926,0.09031378,1369,2296,3665,"8045"
"Chris Lambert","STL","AA,AAA","23-26",502.1,0.3074347,0.82244898,0.21252205,0.35537919,0.43209877,0.22040816,0.06734694,0.42268041,0.27061856,0.30670103,0.10691181,2154,3720,5874,"8047"
"Will Smith","LAA","A,A+,AA,AAA,R","18-28",703,0.31616595,1.25661376,0.17980769,0.45673077,0.36346154,0.16269841,0.08465608,0.42724745,0.23540315,0.3373494,0.1408501,2578,5821,8399,"8048"
"Todd Williams","BAL","AA,AAA","35-36",24,0.29166667,1.57894737,0.19672131,0.49180328,0.31147541,0.15789474,0.10526316,0.40322581,0.19354839,0.40322581,0.05904059,100,171,271,"805"
"Mike Parisi","STL","A+,AA,AAA,R","23-29",534,0.31144578,1.33882353,0.16470588,0.47815126,0.35714286,0.22117647,0.09882353,0.4679803,0.24384236,0.28817734,0.08623948,2194,3627,5821,"8070"
