"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Barnhart, Tucker","571466","310","9.7",36.1,"104.5","86.2","91.4","81.7","444","166","401","79",25.6,"7",2.3,1.7
"Martinez, J.D.","502110","308","15.4",37.7,"114.8","91","97.1","84.4","461","210","412","151",49.3,"60",19.5,12.3
"Braun, Ryan","460075","308","7.7",30.8,"114.7","89.9","96","85.8","429","163","401","135",44,"26",8.4,6.1
"Grossman, Robbie","543257","307","12.2",37.1,"109.8","86.4","89.9","83.8","422","178","400","82",26.8,"9",2.9,2
"Thames, Eric","519346","306","12.8",36.3,"112","88.2","94.1","82.1","436","194","392","120",39.3,"34",11.1,6.2
"Renfroe, Hunter","592669","306","15.3",32.4,"113.7","88","94.3","82.8","449","192","404","104",34.1,"34",11.1,7.1
"Donaldson, Josh","518626","306","13.8",31.7,"113.5","90.9","97","85.5","454","186","407","137",44.9,"43",14.1,8.7
"Jay, Jon","445055","304","10.3",40.1,"104.4","85.7","87","84.9","394","153","376","69",22.7,"2",0.7,0.5
"Maybin, Cameron","457727","303","4.6",29,"109.2","87.2","91.3","85.1","430","144","393","99",32.7,"10",3.3,2.2
"Escobar, Yunel","488862","299","2.3",31.8,"111.7","89","93.6","86.3","438","147","412","117",39.1,"15",5,3.9
"Wong, Kolten","543939","298","9.7",32.9,"109.7","86.4","90","84.5","425","155","413","85",28.9,"9",3,2.2
"Aoki, Norichika","493114","298","4.5",28.2,"106.6","86.1","89.9","84.8","404","134","384","74",24.8,"3",1,0.8
"Dyson, Jarrod","502481","297","9.5",30.3,"104.5","82.4","87.4","80.7","407","143","387","55",18.5,"5",1.7,1.3
"McCann, Brian","435263","296","14.5",33.8,"106.4","87.6","92.5","84.6","425","177","394","100",33.8,"16",5.4,4
"Ellsbury, Jacoby","453056","295","10",33.2,"108.4","85.6","90.1","83.1","420","164","375","75",25.4,"8",2.7,2
"DeJong, Paul","657557","294","18.1",42.2,"108.6","86.6","93.7","77.6","434","193","398","115",40.1,"27",9.2,6.1
"Beltré, Adrián","134181","294","12.5",36.1,"107.4","86.7","91.4","82","430","182","398","95",32.5,"17",5.8,4.4
"d'Arnaud, Travis","518595","292","13.5",33.2,"111.6","88","93.3","83.5","455","173","400","104",35.7,"19",6.5,5.1
"Brantley, Michael","488726","292","9.9",33.9,"110.2","88.4","91.8","87","423","159","401","105",36.1,"12",4.1,3.2
"Duda, Lucas","446263","290","19.2",40.3,"114.5","90.3","95.2","85.1","451","208","404","127",43.8,"35",12.1,7.1
"Flores, Wilmer","527038","288","17",36.8,"108.1","87.5","91.6","84.2","414","194","389","97",33.9,"17",5.9,4.7
"Kiermaier, Kevin","595281","286","8.1",28.3,"110.9","86.9","91.5","84.4","443","159","410","87",30.5,"15",5.2,3.6
"Bour, Justin","571506","286","9.7",37.1,"114.8","89.2","95.3","85.6","446","178","399","115",40.4,"31",10.8,7.2
"DeShields, Delino","592261","284","11.5",28.2,"104.4","83.6","89.1","79.6","407","158","398","62",21.9,"8",2.8,1.8
"Contreras, Willson","575929","282","7.1",29.4,"115.1","88.2","95.7","83.6","442","157","409","101",35.9,"29",10.3,6.8
"Owings, Chris","572008","281","12.4",33.8,"108.4","86.6","90.5","83.6","442","166","407","77",27.6,"10",3.6,2.6
"Grichuk, Randal","545341","281","16.2",37.4,"113.3","89","95.4","81.6","434","200","406","116",41.4,"45",16,10.2
"Aybar, Erick","430947","281","7.5",30.2,"105.2","82.7","87.4","79.4","413","144","388","44",15.8,"5",1.8,1.4
"Belt, Brandon","474832","279","22",34.8,"108.4","89.3","93.9","85.1","456","216","406","112",40.6,"31",11.1,6.9
"Barney, Darwin","446381","278","11.7",32,"101.7","82.7","87.1","80.1","401","152","373","34",12.2,"1",0.4,0.3
"Haniger, Mitch","571745","277","10.9",36.8,"111.2","87.7","93.2","82.5","437","174","400","98",35.4,"17",6.1,4.1
"Villar, Jonathan","542340","274","3.1",26.6,"114.7","88.3","93.6","85.9","450","140","395","93",34.2,"15",5.5,3.4
"Kipnis, Jason","543401","272","17.5",37.9,"107.8","86.2","91.1","81.9","416","196","391","86",31.6,"13",4.8,3.5
"Schwarber, Kyle","656941","272","18.6",29.8,"116.1","89.6","95.5","84.2","470","196","409","113",41.5,"41",15.1,8.4
