Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Nick Neidert,MIA,27,4,0,0,0,8.1,10,5,4,2,1,0,0,0,0,0,5.4,1.44
Luis Avilan,NYY,34,10,0,0,0,8.1,9,4,9,5,2,0,0,0,0,0,4.32,1.68
Walker Lockett,SEA,29,5,0,0,0,8.1,12,4,3,1,1,0,0,0,0,0,4.32,1.56
Ashton Goudeau,COL,31,4,0,0,0,8.1,15,7,2,2,3,0,0,0,0,0,7.56,2.04
Andrew Kittredge,TB,33,8,1,0,0,8,8,2,3,2,0,0,0,1,0,1,2.25,1.25
Walker Lockett,NYM,29,2,1,0,0,8,9,5,8,3,1,1,0,0,0,0,5.63,1.5
Homer Bailey,MIN,37,2,2,0,0,8,6,3,7,3,1,1,0,0,0,0,3.38,1.13
Andrew Triggs,BOS,34,4,2,0,0,8,8,4,7,3,3,0,1,0,0,0,4.5,1.38
Braxton Garrett,MIA,26,2,2,0,0,7.2,8,5,8,5,3,1,1,0,0,0,5.87,1.7
Erik Swanson,SEA,30,9,0,0,0,7.2,11,11,9,2,3,0,2,0,1,1,12.91,1.7
Carlos Rodon,CWS,30,4,2,0,0,7.2,9,7,6,3,1,0,2,0,1,0,8.22,1.57
Sean Doolittle,WAS,37,11,0,0,0,7.2,9,5,6,4,3,0,2,0,0,3,5.87,1.7
David Phelps,PHI,37,10,0,0,0,7.2,12,11,11,3,5,0,1,0,1,2,12.91,1.96
Archie Bradley,CIN,31,6,0,0,0,7.2,4,1,6,0,1,1,0,0,0,2,1.17,0.52
Nestor Cortes,SEA,28,5,1,0,0,7.2,12,13,8,6,6,0,1,0,0,0,15.26,2.35
Justin Topa,MIL,32,6,0,0,0,7.2,7,2,12,0,1,0,1,0,0,0,2.35,0.91
Sean Poppen,MIN,29,6,0,0,0,7.2,9,4,10,4,0,0,0,0,0,1,4.7,1.7
Taylor Guilbeau,SEA,30,8,0,0,0,7.2,8,1,3,6,0,0,0,0,0,1,1.17,1.83
Zac Grotz,SEA,30,5,0,0,0,7.1,11,12,4,11,4,0,0,0,0,0,14.73,3
Josh Taylor,BOS,30,8,0,0,0,7.1,7,8,7,5,2,1,1,0,2,1,9.82,1.64
Ben Braymer,WAS,29,3,1,0,0,7.1,7,1,8,5,0,1,0,0,0,0,1.23,1.64
Brandon Bailey,HOU,29,5,0,0,0,7.1,6,2,4,3,1,0,0,0,0,0,2.45,1.23
Deolis Guerra,PHI,34,9,0,0,0,7.1,10,7,8,2,3,1,3,0,0,0,8.59,1.64
Chase De Jong,HOU,29,3,2,0,0,7.1,12,12,9,4,2,0,1,0,0,0,14.73,2.18
Zack Burdi,CWS,28,8,0,0,0,7.1,11,9,11,3,4,0,1,0,1,1,11.05,1.91
Brandon Brennan,SEA,32,5,0,0,0,7.1,7,3,7,5,2,0,0,0,0,0,3.68,1.64
David Hess,BAL,30,3,0,0,0,7,10,5,1,2,1,0,0,0,0,0,6.43,1.71
Drew Smith,NYM,30,8,0,0,0,7,6,5,7,2,2,0,1,0,0,2,6.43,1.14
Anthony Banda,TB,30,4,0,0,0,7,10,8,4,5,1,1,0,1,0,0,10.29,2.14
Tyler Thornburg,CIN,35,7,0,0,0,7,6,3,10,5,0,0,0,0,0,1,3.86,1.57
Bruce Zimmermann,BAL,28,2,1,0,0,7,6,6,7,2,2,0,0,0,0,0,7.71,1.14
Miguel Yajure,NYY,25,3,0,0,0,7,3,1,8,5,1,0,0,0,0,0,1.29,1.14
Travis Bergen,ARI,30,7,0,0,0,6.2,4,3,8,8,1,1,0,1,0,0,4.05,1.8
Andrew Chafin,ARI,33,11,0,0,0,6.2,9,6,10,4,1,1,1,0,2,3,8.1,1.95
Brandon Workman,BOS,35,7,0,0,0,6.2,8,3,8,4,0,0,0,4,0,0,4.05,1.8
Carson Fulmer,DET,29,7,0,0,0,6.2,8,5,7,3,1,0,0,0,0,0,6.75,1.65
Beau Burrows,DET,27,5,0,0,0,6.2,8,4,3,1,3,0,0,0,0,0,5.4,1.35
Sean Reid-Foley,TOR,28,5,0,0,0,6.2,3,1,6,6,0,1,0,0,0,0,1.35,1.35
Clarke Schmidt,NYY,27,3,1,0,0,6.1,7,5,7,5,0,0,1,0,0,0,7.11,1.89
Cionel Perez,HOU,27,7,0,0,0,6.1,7,2,8,6,0,0,0,0,0,2,2.84,2.05
Jose Alvarez,PHI,34,8,0,0,0,6.1,7,1,6,3,0,0,0,0,0,1,1.42,1.58
David Bednar,SD,29,4,0,0,0,6.1,11,5,5,2,1,0,0,0,0,0,7.11,2.05
Jonathan Stiever,CWS,26,2,2,0,0,6.1,7,7,3,4,4,0,1,0,0,0,9.95,1.74
Zack Littell,MIN,28,6,0,0,0,6.1,12,7,3,3,5,0,0,0,0,0,9.95,2.37
Phillip Diehl,COL,29,6,0,0,0,6,7,7,4,1,2,0,0,0,0,0,10.5,1.33
Garrett Crochet,CWS,24,5,0,0,0,6,3,0,8,0,0,0,0,0,0,0,0,0.5
David Hale,NYY,36,5,0,0,0,6,7,2,7,3,0,0,0,1,0,0,3,1.67
Bryan Shaw,SEA,36,6,0,0,0,6,13,12,4,6,1,1,0,0,1,0,18,3.17
Justin Verlander,HOU,40,1,1,0,0,6,3,2,7,1,2,1,0,0,0,0,3,0.67
Ryan Buchter,LAA,36,10,0,0,0,6,5,3,8,6,2,2,0,0,0,0,4.5,1.83
Paolo Espino,WAS,36,2,1,0,0,6,8,3,7,2,1,0,0,0,0,0,4.5,1.67
Kevin McCarthy,KC,31,5,0,0,0,6,10,3,2,2,1,0,0,0,0,0,4.5,2
Ben Heller,NYY,32,6,0,0,0,6,5,2,6,2,2,0,0,0,0,0,3,1.17
Antonio Santos,COL,27,3,1,0,0,6,14,11,4,4,1,0,1,0,0,0,16.5,3
Paul Sewald,NYM,33,5,0,0,0,6,12,9,2,4,1,0,0,0,0,0,13.5,2.67
Patrick Murphy,TOR,28,4,0,0,0,6,6,1,5,2,0,0,0,0,0,0,1.5,1.33
Jose De Leon,CIN,31,5,0,0,0,6,6,12,10,11,1,0,0,0,0,0,18,2.83
Joey Lucchesi,SD,30,3,2,0,0,5.2,13,5,5,2,0,0,1,0,0,0,7.94,2.65
Gabe Speier,KC,28,8,0,0,0,5.2,9,5,6,4,1,0,1,0,0,1,7.94,2.29
Nick Pivetta,PHI,30,3,0,0,0,5.2,10,10,4,1,3,0,0,0,0,1,15.88,1.94
Kyle Crick,PIT,30,7,0,0,0,5.2,7,1,7,4,0,0,1,0,1,0,1.59,1.94
Edinson Volquez,TEX,40,7,0,0,0,5.2,6,4,3,2,0,2,1,0,0,0,6.35,1.41
Jordan Zimmermann,DET,37,3,2,0,0,5.2,11,5,6,2,0,0,0,0,0,0,7.94,2.29
Justin Shafer,MIA,31,5,0,0,0,5.2,8,8,5,4,2,0,0,0,0,0,12.71,2.12
Trent Thornton,TOR,30,3,3,0,0,5.2,15,7,6,3,0,0,0,0,0,0,11.12,3.18
Sterling Sharp,MIA,28,4,0,0,0,5.1,7,6,3,5,1,0,0,0,0,0,10.13,2.25
Reggie McClain,PHI,31,5,0,0,0,5.1,9,3,2,3,1,0,0,0,0,0,5.06,2.25
Mike Montgomery,KC,34,3,1,0,0,5.1,6,3,4,1,1,0,0,0,0,0,5.06,1.31
Luke Bard,LAA,33,6,0,0,0,5.1,7,4,7,0,2,0,0,0,0,1,6.75,1.31
James Pazos,COL,32,6,0,0,0,5.1,10,10,1,5,3,0,0,0,0,0,16.88,2.81
Luke Farrell,TEX,32,4,0,0,0,5.1,5,5,8,5,1,0,0,0,0,0,8.44,1.88
Ricardo Sanchez,STL,26,3,0,0,0,5.1,5,4,4,5,1,0,0,0,0,0,6.75,1.88
Jesus Tinoco,MIA,28,3,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0.6
Tyson Miller,CHC,28,2,1,0,0,5,2,3,0,3,1,0,0,0,0,0,5.4,1
Glenn Sparkman,KC,31,4,0,0,0,5,9,3,2,1,0,0,0,0,0,0,5.4,2
Jhoulys Chacin,ATL,35,2,0,0,0,5,6,4,3,3,1,1,0,0,0,0,7.2,1.8
Stephen Strasburg,WAS,35,2,2,0,0,5,8,6,2,1,1,0,1,0,0,0,10.8,1.8
Branden Kline,BAL,32,3,0,0,0,5,2,1,7,3,0,0,0,0,0,0,1.8,1
Sam Freeman,WAS,36,7,0,0,0,5,2,1,6,7,0,0,0,0,0,1,1.8,1.8
Nick Mears,PIT,27,4,0,0,0,5,4,3,7,7,1,0,0,0,0,0,5.4,2.2
Kodi Whitley,STL,28,4,0,0,0,4.2,2,1,5,1,1,0,0,0,0,0,1.93,0.64
Robinson Leyer,BOS,30,6,1,0,0,4.2,12,11,9,8,3,0,0,0,0,1,21.21,4.29
Justin Grimm,MIL,34,4,0,0,0,4.2,9,9,6,4,4,0,0,0,0,0,17.36,2.79
Carl Edwards,SEA,32,5,0,0,0,4.2,2,1,6,1,0,0,0,1,0,1,1.93,0.64
Michel Baez,SD,27,3,1,0,0,4.2,7,4,7,2,0,0,0,0,1,0,7.71,1.93
Rob Kaminsky,STL,29,5,0,0,0,4.2,3,1,3,2,0,0,0,0,0,0,1.93,1.07
Kirby Yates,SD,36,6,0,0,0,4.1,7,6,8,4,1,0,1,2,0,1,12.46,2.54
Josh Sborz,LAD,29,4,0,0,0,4.1,2,1,2,1,1,0,0,0,0,0,2.08,0.69
Joe Biagini,HOU,33,4,0,0,0,4.1,10,10,4,4,1,0,0,0,0,0,20.77,3.23
Roberto Osuna,HOU,28,4,0,0,0,4.1,3,1,3,0,0,0,0,1,0,1,2.08,0.69
Domingo Tapia,BOS,32,5,0,0,0,4.1,4,1,4,2,1,0,0,0,0,0,2.08,1.38
Jose Mujica,COL,27,2,0,0,0,4.1,10,6,1,2,2,0,0,0,0,0,12.46,2.77
Sean Gilmartin,TB,33,2,0,0,0,4.1,7,4,5,4,2,0,0,0,0,0,8.31,2.54
Pat Venditte,MIA,38,3,0,0,0,4.1,1,0,5,0,0,0,0,0,0,0,0,0.23
Wade Davis,COL,38,5,0,0,0,4.1,9,10,3,3,3,0,1,2,1,0,20.77,2.77
Aaron Fletcher,SEA,27,6,0,0,0,4.1,7,6,7,7,1,0,0,0,0,1,12.46,3.23
Alex Vesia,MIA,27,5,0,0,0,4.1,7,9,5,7,3,0,1,0,0,1,18.69,3.23
Blake Cederlind,PIT,27,5,0,0,0,4,3,2,4,1,0,0,0,0,0,0,4.5,1
Ian Hamilton,CWS,28,4,0,0,0,4,4,2,4,5,0,0,0,0,0,0,4.5,2.25
James Bourque,WAS,30,6,0,0,0,4,3,3,1,5,1,1,0,0,0,0,6.75,2
Dereck Rodriguez,SF,31,2,0,0,0,4,10,6,2,3,2,0,0,0,0,0,13.5,3.25
Brooks Raley,CIN,35,4,0,0,0,4,5,4,6,2,0,0,0,0,0,0,9,1.75
Jose Ruiz,CWS,29,5,0,0,0,4,2,1,5,0,1,0,0,0,1,0,2.25,0.5
Yacksel Rios,PIT,30,3,0,0,0,4,3,4,3,2,0,0,0,0,0,1,9,1.25
Adonis Medina,PHI,26,1,1,0,0,4,3,2,4,3,0,0,1,0,0,0,4.5,1.5
Austin Adams,SD,32,3,0,0,0,4,3,2,7,2,1,0,0,0,0,1,4.5,1.25
Ranger Suarez,PHI,28,3,0,0,0,4,10,9,1,4,1,0,1,0,0,0,20.25,3.5
Demarcus Evans,TEX,27,4,0,0,0,4,3,1,4,0,1,0,0,0,0,0,2.25,0.75
Ariel Jurado,NYM,27,1,1,0,0,4,9,5,2,0,1,0,0,0,0,0,11.25,2.25
Mike Morin,MIA,32,3,0,0,0,4,1,0,2,1,0,1,0,0,0,0,0,0.5
Jesus Tinoco,COL,28,3,0,0,0,3.2,3,1,3,4,0,0,0,0,0,0,2.45,1.91
James Kaprielian,OAK,29,2,0,0,0,3.2,4,3,4,2,2,0,0,0,0,0,7.36,1.64
Carson Fulmer,BAL,29,3,0,0,0,3.2,0,0,4,2,0,0,0,0,0,0,0,0.55
Chad Sobotka,ATL,30,4,0,0,0,3.2,6,5,2,2,0,0,0,0,0,0,12.27,2.18
Ronald Bolanos,KC,27,2,2,0,0,3.2,8,5,2,3,2,0,2,0,0,0,12.27,3
Brian Moran,MIA,35,5,0,0,0,3.2,5,5,6,6,1,1,0,0,0,0,12.27,3
Chris Devenski,HOU,33,4,0,0,0,3.2,7,6,5,3,1,0,1,0,1,0,14.73,2.73
Ken Giles,TOR,33,4,0,0,0,3.2,4,4,6,4,2,0,0,1,0,1,9.82,2.18
Austin Davis,PIT,30,5,0,0,0,3.2,1,1,3,1,0,0,0,0,0,1,2.45,0.55
Cole Irvin,PHI,29,3,0,0,0,3.2,11,7,4,1,1,0,1,0,0,0,17.18,3.27
Miguel Del Pozo,PIT,31,5,0,0,0,3.2,7,7,2,8,0,0,0,0,2,0,17.18,4.09
Jose Quijada,LAA,28,6,0,0,0,3.2,6,3,6,2,1,0,1,0,1,1,7.36,2.18
Brooks Kriske,NYY,29,4,0,0,0,3.2,3,6,8,7,1,0,0,0,0,0,14.73,2.73
Trevor Kelley,PHI,30,4,0,0,0,3.1,8,4,5,1,2,0,0,0,0,0,10.8,2.7
Bryan Abreu,HOU,26,4,0,0,0,3.1,1,1,3,7,0,0,0,0,0,0,2.7,2.4
Joe Harvey,COL,31,4,0,0,0,3.1,3,0,2,0,0,0,0,0,0,0,0,0.9
Artie Lewicki,ARI,31,2,0,0,0,3.1,7,2,5,1,0,0,0,0,0,0,5.4,2.4
Mike Foltynewicz,ATL,32,1,1,0,0,3.1,4,6,3,4,3,0,1,0,0,0,16.2,2.4
Hunter Strickland,NYM,35,4,0,0,0,3.1,5,3,4,1,0,0,1,0,0,0,8.1,1.8
Rex Brothers,CHC,35,3,0,0,0,3.1,2,3,8,3,2,0,0,0,0,0,8.1,1.5
Chris Rusin,ATL,37,1,0,0,0,3.1,6,3,3,3,1,0,0,0,0,0,8.1,2.7
Robbie Erlin,PIT,33,2,0,0,0,3.1,5,2,4,1,0,0,0,0,0,0,5.4,1.8
Cole Hamels,ATL,39,1,1,0,0,3.1,3,3,2,1,0,0,1,0,0,0,8.1,1.2
Brett Eibner,MIA,34,3,0,0,0,3.1,7,5,4,4,2,0,0,0,0,0,13.5,3.3
Edgar Garcia,TB,27,4,0,0,0,3.1,3,4,1,4,2,0,0,1,0,2,10.8,2.1
Randy Rosario,KC,29,4,0,0,0,3.1,7,3,4,3,1,0,1,0,1,0,8.1,3
Brandon Waddell,PIT,29,2,0,0,0,3.1,2,1,2,2,0,0,0,0,0,0,2.7,1.2
Mitch White,LAD,28,2,0,0,0,3,1,0,2,1,0,1,0,0,0,0,0,0.67
Sam Gaviglio,TOR,33,4,0,0,0,3,3,3,1,5,0,0,1,0,0,0,9,2.67
Johan Quezada,MIA,29,3,0,0,0,3,4,3,2,1,1,0,0,0,0,0,9,1.67
Junior Fernandez,STL,26,3,0,0,0,3,6,6,2,2,1,0,0,0,0,0,18,2.67
Caleb Smith,MIA,32,1,1,0,0,3,1,1,3,6,1,0,0,0,0,0,3,2.33
Ray Black,MIL,33,3,0,0,0,3,2,1,3,3,0,0,0,0,0,0,3,1.67
Scott Blewett,KC,27,2,0,0,0,3,6,2,4,1,0,0,0,0,0,0,6,2.33
Richard Bleier,BAL,36,2,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0.33
Andrew Chafin,CHC,33,4,0,0,0,3,2,1,3,1,1,0,1,1,0,0,3,1
Austin Davis,PHI,30,4,0,0,0,3,10,7,2,1,1,0,0,0,0,0,21,3.67
Joel Payamps,ARI,29,2,0,0,0,3,2,1,2,3,0,0,0,0,0,0,3,1.67
Alex McRae,CWS,30,2,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0.33
Joel Kuhnel,CIN,28,3,0,0,0,3,4,2,3,0,2,1,0,0,0,0,6,1.33
Seth Frankoff,SEA,35,2,0,0,0,2.2,6,5,0,2,0,0,0,0,0,0,16.88,3
Ryan Meisinger,STL,29,2,0,0,0,2.2,1,0,3,4,0,0,0,0,0,0,0,1.88
Josh Osich,CHC,35,4,0,0,0,2.2,5,3,4,0,0,0,0,0,0,0,10.13,1.88
AJ Ramos,COL,37,3,0,0,0,2.2,4,1,1,3,1,0,0,0,0,0,3.38,2.63
Randy Messenger,STL,42,2,0,0,0,2.2,1,0,3,4,0,0,0,0,0,0,0,1.88
Cody Reed,TB,30,2,0,0,0,2.2,1,0,2,0,0,0,0,0,0,0,0,0.38
Danny Coulombe,MIN,34,2,0,0,0,2.2,2,0,3,3,0,0,0,0,0,0,0,1.88
Seth Romero,WAS,27,3,0,0,0,2.2,5,4,5,3,1,0,0,0,0,1,13.5,3
Angel Perdomo,MIL,29,3,0,0,0,2.2,3,6,5,7,0,0,0,0,0,0,20.25,3.75
Joe Mantiply,ARI,32,4,0,0,0,2.1,3,4,2,4,0,0,0,0,0,0,15.43,3
Joe Palumbo,TEX,29,2,0,0,0,2.1,3,3,5,3,1,0,1,0,0,0,11.57,2.57
Jose Suarez,LAA,25,2,2,0,0,2.1,10,10,2,5,1,0,2,0,0,0,38.57,6.43
Nick Burdi,PIT,30,3,0,0,0,2.1,2,1,4,2,0,0,1,1,0,0,3.86,1.71
Pedro Strop,CIN,38,4,0,0,0,2.1,1,1,3,6,0,0,0,0,0,1,3.86,3
Kelvin Herrera,CWS,33,2,0,0,0,2.1,3,4,3,1,2,0,0,0,0,0,15.43,1.71
Paul Blackburn,OAK,29,1,1,0,0,2.1,5,7,2,2,0,0,1,0,0,0,27,3
Brad Peacock,HOU,35,3,0,0,0,2.1,3,2,3,1,0,0,0,0,0,0,7.71,1.71
Bobby Wahl,MIL,31,3,0,0,0,2.1,4,3,1,0,2,0,1,0,0,0,11.57,1.71
Tommy Doyle,COL,27,3,0,0,0,2.1,6,6,2,4,0,0,0,0,0,0,23.14,4.29
Jimmy Yacabonis,SEA,31,2,1,0,0,2.1,2,1,1,3,0,0,1,0,0,0,3.86,2.14
Kyle Keller,LAA,30,2,0,0,0,2.1,3,2,1,2,0,0,0,0,0,0,7.71,2.14
Jimmy Lambert,CWS,29,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1
Cody Carroll,BAL,31,3,0,0,0,2,9,12,3,5,0,0,0,0,0,0,54,7
Carlos Sanabria,HOU,26,2,0,0,0,2,3,2,2,3,1,0,0,0,0,0,9,3
Cory Gearrin,MIN,37,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1
Keone Kela,PIT,30,3,0,0,0,2,3,1,3,1,1,0,0,0,0,0,4.5,2
Bernardo Flores,CWS,28,2,0,0,0,2,4,2,2,0,0,0,0,0,0,0,9,2
Daulton Jefferies,OAK,28,1,1,0,0,2,5,5,1,2,2,0,1,0,0,0,22.5,3.5
Jose Leclerc,TEX,29,2,0,0,0,2,2,1,3,2,0,0,0,1,0,0,4.5,2
Dillon Peters,LAA,31,1,1,0,0,1.2,3,3,2,0,2,0,0,0,0,0,16.2,1.8
Hector Perez,TOR,27,1,0,0,0,1.2,3,2,1,3,1,0,0,0,0,0,10.8,3.6
Foster Griffin,KC,28,1,0,0,0,1.2,0,0,1,0,0,1,0,0,0,0,0,0
Michael Feliz,PIT,30,3,0,0,0,1.2,4,6,2,2,1,0,0,0,0,0,32.4,3.6
Aaron Barrett,WAS,35,2,0,0,0,1.2,2,2,1,2,0,0,0,0,0,0,10.8,2.4
Shohei Ohtani,LAA,29,46,2,0,0,1.2,3,7,3,8,0,0,1,0,0,0,37.8,6.6
Tyler Lyons,NYY,35,1,0,0,0,1.2,3,4,0,1,0,0,0,0,0,0,21.6,2.4
Tucker Davidson,ATL,27,1,1,0,0,1.2,3,2,2,4,1,0,1,0,0,0,10.8,4.2
Travis Bergen,TOR,30,1,0,0,0,1.2,1,0,3,1,0,0,0,0,0,0,0,1.2
Josh D. Smith,MIA,34,2,0,0,0,1.2,2,2,4,1,1,0,0,0,0,0,10.8,1.8
James Norwood,CHC,29,3,0,0,0,1.2,4,3,0,1,0,0,0,0,0,0,16.2,3
Jose Rodriguez,LAA,28,1,0,0,0,1.2,2,0,0,1,0,0,0,0,0,0,0,1.8
Dany Jimenez,SF,29,2,0,0,0,1.1,1,1,1,3,0,0,0,0,0,0,6.75,3
Juan Nicasio,TEX,37,2,0,0,0,1.1,5,6,1,2,1,0,0,0,0,0,40.5,5.25
Brady Lail,CWS,30,1,0,0,0,1.1,2,0,1,0,0,0,0,0,0,0,0,1.5
Sal Romano,CIN,30,2,0,0,0,1.1,0,0,0,0,0,1,0,0,0,0,0,0
Drew Anderson,CWS,29,1,0,0,0,1.1,4,6,2,2,2,0,1,0,0,0,40.5,4.5
Clay Holmes,PIT,30,1,0,0,0,1.1,2,0,1,0,0,0,0,0,0,0,0,1.5
Albert Abreu,NYY,28,2,0,0,0,1.1,4,3,2,2,1,0,1,0,0,0,20.25,4.5
Silvino Bracho,ARI,31,1,0,0,0,1,2,2,1,0,1,0,0,0,0,0,18,2
Mauricio Llovera,PHI,27,1,0,0,0,1,5,4,1,1,0,0,0,0,0,0,36,6
Jorge Guzman,MIA,27,1,0,0,0,1,2,2,0,1,2,0,0,0,0,0,18,3
Matt Dermody,CHC,33,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Taylor Williams,SD,32,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,9,2
Phil Bickford,MIL,28,1,0,0,0,1,4,4,2,0,0,0,0,0,0,0,36,4
Jeff Brigham,MIA,31,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,9,2
Matt Grace,ARI,34,3,0,0,0,1,5,6,2,2,1,0,1,0,0,0,54,7
Corey Kluber,TEX,37,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Dillon Maples,CHC,31,2,0,0,0,1,1,2,1,4,0,0,0,0,0,0,18,5
Brian Moran,TOR,35,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
Tommy Kahnle,NYY,34,1,0,0,0,1,1,0,3,1,0,0,0,0,0,1,0,2
Richard Lovelady,KC,28,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,9,2
Anthony Castro,DET,28,1,0,0,0,1,1,2,1,1,1,0,0,0,0,0,18,2
Brad Wieck,CHC,32,1,0,0,0,1,1,2,2,1,1,0,0,0,0,0,18,2
Jesus Cruz,STL,28,1,0,0,0,1,3,2,2,1,0,0,0,0,0,0,18,4
Kyle Nelson,CLE,27,1,0,0,0,0.2,3,4,0,1,1,0,0,0,0,0,54,6
Brailyn Marquez,CHC,24,1,0,0,0,0.2,2,5,1,3,0,0,0,0,0,0,67.5,7.5
Roel Ramirez,STL,28,1,0,0,0,0.2,6,6,1,1,4,0,0,0,0,0,81,10.5
Jesse Biddle,CIN,32,1,0,0,0,0.2,1,0,1,1,0,0,0,0,0,0,0,3
Jorge Lopez,KC,30,1,0,0,0,0.2,3,2,0,0,0,0,0,0,0,0,27,4.5
Garrett Cleavinger,PHI,29,1,0,0,0,0.2,2,1,1,0,1,0,0,0,0,0,13.5,3
Patrick Weigel,ATL,29,1,0,0,0,0.2,2,2,0,3,0,0,0,0,0,0,27,7.5
Andrew Triggs,SF,34,1,0,0,0,0.1,0,3,0,3,0,0,1,0,0,0,81,9
Jordan Holloway,MIA,27,1,0,0,0,0.1,2,0,0,1,0,0,0,0,0,0,0,9
Jeremy Beasley,ARI,28,1,0,0,0,0.1,2,0,1,0,0,0,0,0,0,0,0,6
Edwar Colina,MIN,26,1,0,0,0,0.1,4,3,0,2,1,0,0,0,0,0,81,18
David McKay,DET,28,1,0,0,0,0.1,1,2,0,1,1,0,0,0,0,0,54,6
