Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1","Top of the 6th, Indians Batting, Ahead 4-3, Red Sox' Wade Miller facing 8-9-1"
t6,4-3,0,---,"6,(2-2) CCBBFX",O,CLE,Aaron Boone,Wade Miller,-3%,63%,Groundout: 3B-1B
t6,4-3,1,---,"4,(1-2) CBCS",O,CLE,Jhonny Peralta,Wade Miller,-2%,61%,Strikeout Swinging
t6,4-3,2,---,"4,(3-0) BBBB",,CLE,Grady Sizemore,Wade Miller,1%,62%,Walk
t6,4-3,2,1--,"5,(3-1) BBBCX",R,CLE,Casey Blake,Wade Miller,14%,76%,Double to LF (Line Drive to Deep LF Line); Sizemore Scores; Blake to 3B/Adv on throw
,,,,,,,,,Mike Myers replaces Wade Miller pitching,Mike Myers replaces Wade Miller pitching,Mike Myers replaces Wade Miller pitching
t6,5-3,2,--3,"8,(3-2) .BCCBBFFS",O,CLE,Travis Hafner,Mike Myers,-3%,73%,Strikeout Swinging
,,,,,,,,,"1 run, 1 hit, 0 errors, 1 LOB. Indians 5, Red Sox 3.","1 run, 1 hit, 0 errors, 1 LOB. Indians 5, Red Sox 3.","1 run, 1 hit, 0 errors, 1 LOB. Indians 5, Red Sox 3."
"Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8","Bottom of the 6th, Red Sox Batting, Behind 3-5, Indians' Cliff Lee facing 6-7-8"
b6,3-5,0,---,"4,(1-2) BCCX",O,BOS,Jason Varitek,Cliff Lee,4%,76%,Flyball: RF (CF-RF)
b6,3-5,1,---,"1,(0-0) X",,BOS,Jay Payton,Cliff Lee,-4%,72%,Single to 2B (Ground Ball)
b6,3-5,1,1--,"3,(1-1) BCX",R,BOS,Kevin Youkilis,Cliff Lee,-21%,52%,Double to LF (Line Drive to LF Line); Payton Scores; Youkilis to 3B/Adv on throw
,,,,,,,,,Arthur Rhodes replaces Cliff Lee pitching,Arthur Rhodes replaces Cliff Lee pitching,Arthur Rhodes replaces Cliff Lee pitching
b6,4-5,1,--3,"4,(3-0) .BBBX",RO,BOS,Mark Bellhorn,Arthur Rhodes,-3%,48%,Flyball: CF/Sacrifice Fly (Deep CF); Youkilis Scores
b6,5-5,2,---,"4,(1-2) BCFX",,BOS,Johnny Damon,Arthur Rhodes,-2%,46%,Single to LF (Line Drive to LF-CF)
b6,5-5,2,1--,"6,(3-2) CB1BFB>B",,BOS,Edgar Renteria,Arthur Rhodes,-3%,43%,Walk; Damon to 2B
b6,5-5,2,12-,"4,(1-2) CSBX",R,BOS,David Ortiz,Arthur Rhodes,-16%,27%,Single to LF (Line Drive); Damon Scores; Renteria to 2B
,,,,,,,,,Matt Miller replaces Arthur Rhodes pitching,Matt Miller replaces Arthur Rhodes pitching,Matt Miller replaces Arthur Rhodes pitching
b6,6-5,2,12-,"4,(2-1) .BBFX",R,BOS,Manny Ramirez,Matt Miller,-11%,16%,Single to RF (Line Drive); Renteria Scores; Ortiz to 3B/Adv on throw
b6,7-5,2,1-3,"3,(0-2) CFX",R,BOS,Kevin Millar,Matt Miller,-6%,10%,Single to LF (Line Drive); Ortiz Scores; Ramirez to 2B
b6,8-5,2,12-,"3,(0-2) CFC",O,BOS,Jason Varitek,Matt Miller,2%,11%,Strikeout Looking
,,,,,,,,,"5 runs, 6 hits, 0 errors, 2 LOB. Indians 5, Red Sox 8.","5 runs, 6 hits, 0 errors, 2 LOB. Indians 5, Red Sox 8.","5 runs, 6 hits, 0 errors, 2 LOB. Indians 5, Red Sox 8."
"Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6","Top of the 7th, Indians Batting, Behind 5-8, Red Sox' Mike Myers facing 4-5-6"
t7,5-8,0,---,"7,(3-2) FBBFFBX",O,CLE,Victor Martinez,Mike Myers,-3%,9%,Groundout: 3B-1B
t7,5-8,1,---,"5,(2-2) CFBBX",,CLE,Ben Broussard,Mike Myers,3%,12%,Single to 2B (Ground Ball)
,,,,,,,,,Mike Timlin replaces Mike Myers pitching,Mike Timlin replaces Mike Myers pitching,Mike Timlin replaces Mike Myers pitching
t7,5-8,1,1--,"3,(2-0) .BBX",,CLE,Ronnie Belliard,Mike Timlin,5%,16%,Single to CF (Ground Ball); Broussard to 2B
t7,5-8,1,12-,"1,(0-0) X",O,CLE,Jody Gerut,Mike Timlin,-5%,11%,Groundout: SS-2B/Forceout at 2B; Broussard to 3B; Gerut to 1B
